NUMERO,NUMERO_SEQUENCIAL,ANO,TIPO_CONVENCAO_CODIGO,TIPO_CONVENCAO_DESCR,TIPO_CONVENCAO_DESCR_LONG,TIPO_CONVENCAO_ORDEM,NATUREZA_CODIGO,NATUREZA_DESCRICAO,NOMECC,AMBITO_GEOGRAFICO_IRCT,AMBITO_GEOGRAFICO_CODE_IRCT,NUMBTE,DATABTE,SERIEBTE,AMBGEG,DATA_EFEITOS,AREA,DIST,CONC,PROV,CODCAE
6690,1,2019,4,AE,Acordo de empresa,3,1,1º CC,"ACORDO DE EMPRESA ENTRE A FUNDAÇAO INATEL E A FESAHT-FEDERAÇAO DOS SINDICATOS DA AGRICULTURA; ALIMENTAÇAO; BEBIDAS; HOTELARIA E TURISMO DE PORTUGAL E OUTROS
",Nacional,1,6,2019.02.15 00:00:00,0,E,2019.01.01 00:00:00,1,0,0,1,86905
6692,1,2019,4,AE,Acordo de empresa,3,1,1º CC,ACORDO DE EMPRESA ENTRE A FUNDAÇÃO INATEL E O SINDICATO DOS TRABALHADORES E TÉCNICOS DE SERVIÇOS; COMÉRCIO; RESTAURAÇÃO E TURISMO - SITESE,Nacional,1,6,2019.02.15 00:00:00,0,E,2019.01.01 00:00:00,1,0,0,1,93294
6304,1,2010,1,ACT,Acordo coletivo de trabalho,2,4,Rev. Global,ACORDO COLECTIVO ENTRE A BP PORTUGAL - COMÉRCIO DE COMBUSTÍVEIS E LUBRIFICANTES; SA. E OUTRAS EMPRESAS PETROLÍFERAS E A FETESE - FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES DE SERVIÇOS E OUTROS - REVISÃO GLOBAL,Nacional,1,47,2010.12.22 00:00:00,0,E,2010.01.01 00:00:00,1,0,0,1,19201
6304,1,2012,1,ACT,Acordo coletivo de trabalho,2,2,Alteração,ACORDO COLETIVO ENTRE A BP PORTUGAL - COMÉRCIO DE COMBUSTÍVEIS E LUBRIFICANTES; SA E OUTRAS EMPRESAS PETROLÍFERAS E A FETESE - FEDERAÇÃO DOS SINDICATOS DA INDÚSTRIA E SERVIÇOS E OUTROS - ALTERAÇÃO SALARIAL (PECUNIARIA),Nacional,1,25,2012.07.08 00:00:00,0,E,2012.01.01 00:00:00,1,0,0,1,19201
6304,1,2013,1,ACT,Acordo coletivo de trabalho,2,3,Consolidação,ACORDO COLETIVO ENTRE A BP PORTUGAL - COMÉRCIO DE COMBUSTÍVEIS E LUBRIFICANTES; SA E OUTRAS EMPRESAS PETROLÍFERAS E A FETESE - FEDERAÇÃO DOS SINDICATOS DA INDÚSTRIA E SERVIÇOS - ALTERAÇÃO SALARIAL E OUTRAS E TEXTO CONSOLIDADO.,Nacional,1,28,2013.07.29 00:00:00,0,E,2013.01.01 00:00:00,1,0,0,1,46711
6304,1,2014,1,ACT,Acordo coletivo de trabalho,2,2,Alteração,ACORDO COLETIVO ENTRE A BP PORTUGAL - COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES; SA E OUTRAS EMPRESAS PETROLIFERAS E A COFESINT - CONFEDERAÇAO DE SINDICATOS DA INDUSTRIA; ENERGIA E TRANSPORTES - ALTERAÇAO SALARIAL E OUTRAS,Nacional,1,29,2014.08.08 00:00:00,0,E,2014.01.01 00:00:00,1,0,0,1,20593
6304,2,2013,1,ACT,Acordo coletivo de trabalho,2,3,Consolidação,ACORDO COLETIVO ENTRE A BP PORTUGAL - COMÉRCIO DE COMBUSTÍVEIS E LUBRIFICANTES; S.A. E OUTRAS EMPRESAS PETROLÍFERAS E O SINDEQ - SINDICATO DEMOCRÁTICO DA ENERGIA; QUÍMICA; TÊXTEIS E INDÚSTRIAS DIVERSAS E OUTROS - ALTERAÇÃO SALARIAL E OUTRAS E TEXTO CONSOLIDADO,Nacional,1,28,2013.07.29 00:00:00,0,E,2013.01.01 00:00:00,1,0,0,1,46711
6308,1,2011,2,CCT,Contrato coletivo de trabalho,1,4,Rev. Global,CONTRATO COLECTIVO ENTRE A ATP - ASSOCIAÇÃO TÊXTIL E VESTUÁRIO DE PORTUGAL E A FESETE - FEDERAÇÃO DOS SINDICATOS DOS TRABALHADORES TÊXTEIS; LANIFÍCIOS; VESTUÁRIO; CALÇADO E PELES DE PORTUGAL - REVISÃO GLOBAL,Nacional,1,3,2011.01.22 00:00:00,0,E,2010.01.01 00:00:00,1,0,0,1,46761
6309,1,2018,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CONTRATO COLETIVO ENTRE A ASSOCIAÇÃO DA HOTELARIA; RESTAURAÇÃO E SIMILARES DE PORTUGAL (AHRESP) E O SINDICATO DOS TRABALHADORES E TECNICOS DE SERVIÇOS; COMÉRCIO; RESTAURAÇÃO E TURISMO - SITESE (RESTAURAÇÃO E BEBIDAS) - ALTERAÇÃO SALARIAL E OUTRAS,Nacional,1,46,2018.12.15 00:00:00,0,E,2018.01.01 00:00:00,1,0,0,1,55300
6309,1,2018,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CONTRATO COLETIVO ENTRE A ASSOCIAÇÃO DA HOTELARIA; RESTAURAÇÃO E SIMILARES DE PORTUGAL (AHRESP) E O SINDICATO DOS TRABALHADORES E TECNICOS DE SERVIÇOS; COMÉRCIO; RESTAURAÇÃO E TURISMO - SITESE (RESTAURAÇÃO E BEBIDAS) - ALTERAÇÃO SALARIAL E OUTRAS,Nacional,1,46,2018.12.15 00:00:00,0,E,2018.01.01 00:00:00,1,0,0,1,56107
6309,1,2019,2,CCT,Contrato coletivo de trabalho,1,2,Alteração,CONTRATO COLETIVO ENTRE A ASSOCIAÇÃO DA HOTELARIA; RESTAURAÇÃO E SIMILARES DE PORTUGAL (AHRESP) E O SINDICATO DOS TRABALHADORES E TÉCNICOS DE SERVIÇOS; COMÉRCIO; RESTAURAÇÃO E TURISMO - SITESE ( RESTAURAÇÃO E BEBIDAS) - ALTERAÇÃO SALARIAL E OUTRAS21,Nacional,1,21,2019.06.08 00:00:00,0,E,2019.01.01 00:00:00,1,0,0,1,56103
6309,2,2017,2,CCT,Contrato coletivo de trabalho,1,3,Consolidação,CONTRATO COLETIVO ENTRE A ASSOCIAÇAO DA HOTELARIA; RESTAURAÇAO E SIMILARES DE PORTUGAL (AHRESP) E O SINDICATO DOS TRABALHADORES E TECNICOS DE SERVIÇOS; COMERCIO; RESTAURAÇAO E TURISMO - SITESE ( RESTAURAÇAO E BEBIDAS) - ALTERAÇAO E TEXTO CONSOLIDADO,Nacional,1,43,2017.11.22 00:00:00,0,E,2017.01.01 00:00:00,1,0,0,1,56102
